,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Component 1,Component 2
35,Darius Bazley,Forward,69,1924,274,649,0.422,80,269,0.297,194,380,0.511,0.484,117,170,0.688,71,365,436,97,58,70,90,68,745,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,2.6537981380600417,0.9454501508905281
36,Bradley Beal,Forward,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,17.5,0.539,0.272,0.263,3.0,11.4,7.3,30.8,1.2,0.9,13.6,30.8,2.4047120757852682,-0.9987987939184715
37,Malik Beasley,Forward,79,1976,332,850,0.391,240,637,0.377,92,213,0.432,0.532,49,60,0.817,26,201,227,116,43,12,43,88,953,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,1.3448075167770501,-2.963787727756423
38,DeAndre' Bembry,Forward,56,1026,124,221,0.561,15,36,0.417,109,185,0.589,0.595,21,35,0.6,42,121,163,66,49,25,31,113,284,11.9,0.601,0.163,0.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,-0.8341754655789833,0.895910805050482
39,Dāvis Bertāns,Forward,56,807,99,275,0.36,77,230,0.335,22,45,0.489,0.5,36,40,0.9,12,105,117,31,17,12,19,85,311,9.4,0.531,0.836,0.145,1.7,14.3,8.0,5.5,1.0,1.3,6.1,17.3,-1.5509067460476604,-0.6873073545603489
40,Patrick Beverley,Forward,58,1476,177,436,0.406,83,242,0.343,94,194,0.485,0.501,96,133,0.722,62,178,240,268,67,52,73,174,533,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,1.8101088313214837,-0.09038757142830987
41,Saddiq Bey,Forward,82,2704,450,1136,0.396,211,610,0.346,239,526,0.454,0.489,210,254,0.827,107,334,441,233,73,16,96,128,1321,14.0,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,5.013096811957755,-1.9369395200162594
42,Khem Birch,Forward,55,991,97,200,0.485,0,14,0.0,97,186,0.522,0.485,53,71,0.746,122,117,239,56,30,26,29,104,247,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,-0.6149797946381639,1.7983020808887002
43,Goga Bitadze,Forward,50,729,131,252,0.52,23,80,0.288,108,172,0.628,0.565,64,94,0.681,79,98,177,55,21,42,46,107,349,18.0,0.595,0.317,0.373,11.9,15.3,13.5,11.2,1.4,5.0,13.6,19.9,-0.39550599967273925,1.4542575724411446
44,Nemanja Bjelica,Forward,71,1142,160,342,0.468,54,149,0.362,106,193,0.549,0.547,59,81,0.728,62,232,294,159,41,26,87,128,433,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,0.7304220222780873,0.4734554433143684
45,Eric Bledsoe,Forward,54,1361,197,468,0.421,51,163,0.313,146,305,0.479,0.475,89,117,0.761,28,154,182,225,69,19,116,85,534,12.5,0.514,0.348,0.25,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,1.0159399855478075,-0.7990705745158578
46,Keljin Blevins,Forward,31,349,34,111,0.306,21,72,0.292,13,39,0.333,0.401,6,11,0.545,16,29,45,19,13,1,17,29,95,4.8,0.41,0.649,0.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,-2.984689176946458,-0.6084325308157377
47,Bogdan Bogdanović,Forward,63,1848,342,794,0.431,169,459,0.368,173,335,0.516,0.537,97,115,0.843,29,221,250,194,68,14,70,132,950,15.4,0.562,0.578,0.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,2.311342594933014,-1.9757054520457704
48,Bojan Bogdanović,Forward,69,2131,422,928,0.455,181,468,0.387,241,460,0.524,0.552,223,260,0.858,58,238,296,120,34,1,118,116,1248,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,3.4357363520271984,-1.9462632346267539
