,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
14,Samsung Electronics,173957,-2.0,19316.5,217104,"Electronics, Electrical Equip.",Technology,South Korea,325000,154376,4.535983937627161,0.5097227948506656
15,Glencore,173883,2.0,1379.0,124600,"Mining, Crude-Oil Production",Energy,Switzerland,93123,44243,1.0050402736662771,1.1353620015641022
16,Daimler,169483,2.2,9428.4,256262,Motor Vehicles and Parts,Motor Vehicles & Parts,Germany,282488,61116,2.39984945741183,1.174545676786081
17,General Motors,166380,9.2,9427.0,221690,Motor Vehicles and Parts,Motor Vehicles & Parts,USA,225000,43836,2.003122101422385,0.9920325124417226
18,AT&T,163786,11.6,12976.0,403821,Telecommunications,Telecommunications,USA,268540,123135,3.500228336952621,0.4043923098123409
19,EXOR Group,154894,1.5,651.3,186172,Diversified Financials,Financials,Netherlands,302562,11582,0.8373888493334463,1.8769551785833405
20,Ford Motor,151800,1.5,4596.0,237951,Motor Vehicles and Parts,Motor Vehicles & Parts,USA,201000,29170,1.2141878340656231,1.1163073837179107
21,Industrial & Commercial Bank of China,147675,-11.7,41883.9,3473238,Banks: Commercial and Savings,Financials,China,461749,283438,10.922437551670622,-4.244640978030653
22,AmerisourceBergen,146850,8.0,1427.9,33656,Wholesalers: Health Care,Wholesalers,USA,18500,2129,-0.006889228546928884,0.8265405706746274
23,China State Construction Engineering,144505,3.1,2492.9,201269,"Engineering, Construction",Engineering & Construction,China,263915,15344,0.878755255586281,1.4893273370442197
24,AXA,143722,11.2,6446.0,941556,"Insurance: Life, Health (stock)",Financials,France,97707,74454,2.2156948122409332,-0.4222059661131593
25,Amazon.com,135987,27.1,2371.0,83402,Internet Services and Retailing,Technology,USA,341400,19285,0.8589434588188694,1.6727798097893416
26,Hon Hai Precision Industry,135129,-4.3,4608.8,80436,"Electronics, Electrical Equip.",Technology,Taiwan,726772,33476,2.0584024711108104,3.1486890004219137
27,China Construction Bank,135093,-8.7,34840.9,3016578,Banks: Commercial and Savings,Financials,China,362482,226851,8.878236324588343,-3.6739199702501253
28,Honda Motor,129198,6.2,5690.3,170165,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,211915,65482,1.48808400269498,0.7708664119125656
29,Total,127925,-10.8,6196.0,230978,Petroleum Refining,Energy,France,102168,98680,1.771510645102657,0.2085165233272546
30,General Electric,126661,-9.8,8831.0,365183,Industrial Machinery,Industrials,USA,295000,75828,2.230622741289367,0.7470248098661304
31,Verizon,125980,-4.3,13127.0,244180,Telecommunications,Telecommunications,USA,160900,22524,1.5862026019829354,0.3100803364115951
32,Japan Post Holdings,122990,3.6,-267.4,2631385,"Insurance: Life, Health (stock)",Financials,Japan,248384,91532,3.340924034871423,-1.4212019255878094
33,Allianz,122196,-0.6,7611.5,932091,Insurance: Property and Casualty (Stock),Financials,Germany,140253,71020,2.161749994202822,-0.4323457744504926
34,Cardinal Health,121546,18.5,1427.0,34122,Wholesalers: Health Care,Wholesalers,USA,37300,6554,-0.18009699838799853,0.5771873414145284
35,Costco,118719,2.2,2350.0,33163,General Merchandisers,Retailing,USA,172000,12079,0.2408981118895954,1.0905674013111692
36,Walgreens Boots Alliance,117351,13.4,4173.0,72688,Food and Drug Stores,Food & Drug Stores,USA,300000,29880,0.8905346902420853,1.2865470367054574
37,Agricultural Bank of China,117275,-12.1,27687.8,2816039,Banks: Commercial and Savings,Financials,China,501368,189682,7.720059902587375,-2.53916087192974
38,Ping An Insurance,116581,5.7,9392.0,802490,"Insurance: Life, Health (stock)",Financials,China,318588,55177,2.3262191056970045,0.26273643635851945
39,Kroger,115337,5.0,1975.0,36505,Food and Drug Stores,Food & Drug Stores,USA,443000,6698,0.6641953528119754,2.1203367859823437
40,SAIC Motor,113861,6.7,4818.2,84989,Motor Vehicles and Parts,Motor Vehicles & Parts,China,97582,27617,0.4903901254070145,0.47953351465472804
41,Bank of China,113708,-7.1,24773.4,2611539,Banks: Commercial and Savings,Financials,China,308900,203134,7.007365011495977,-3.0310159142985325
42,BNP Paribas,109026,-2.2,8517.2,2190423,Banks: Commercial and Savings,Financials,France,184839,106164,3.6882176413601755,-1.8546880618614991
43,Nissan Motor,108164,6.5,6123.4,165344,Motor Vehicles and Parts,Motor Vehicles & Parts,Japan,137250,50550,0.9796936659105859,0.32846043341151665
44,Chevron,107567,-18.0,-497.0,260078,Petroleum Refining,Energy,USA,55200,145556,1.4629157074740602,0.013439087346648764
45,Fannie Mae,107162,-2.9,12313.0,3287968,Diversified Financials,Financials,USA,7000,6071,3.360600004817582,-3.4459725966807984
46,China Mobile Communications,107117,0.3,9614.3,246446,Telecommunications,Telecommunications,China,463712,130459,3.0027816286163325,0.9940008260194692
47,J.P. Morgan Chase,105486,4.4,24733.0,2490972,Banks: Commercial and Savings,Financials,USA,243355,254190,7.288576025519718,-3.5208727852354276
48,Legal & General Group,105235,442.3,1697.9,577954,"Insurance: Life, Health (stock)",Financials,Britain,8939,8579,-0.4623130969180618,-2.7772259925621876
49,Nippon Telegraph & Telephone,105128,9.4,7384.4,190740,Telecommunications,Telecommunications,Japan,274844,81254,1.7365983767920554,0.5846902644202656
50,China Life Insurance,104818,3.5,162.4,483026,"Insurance: Life, Health (stock)",Financials,China,143676,14079,0.24454574395500295,0.49580597188438985
